 ,GROUP ID,FIRST NAME,LAST NAME,GRADE,DATE OF BIRTH,START DATE,TEACHER,AGE,,,
,1,Kevin,Doe,1,01-02-2000,01-03-2018,John Doe,18,
, Decoding Data,
,Week,Date,Book,Lesson,Form,Score,
,1,15-02-2018,1,1,45,8,
,2,16-02-2018,2,2,45,10,
,3,17-02-2018,3,3,45,9,
,4,18-02-2018,4,5,45,7,
, Rate Data,
,Date,Text,Time,CWPM,Errors,Week,
,15-02-2018,1,1,210,10,1,
,16-02-2018,1,2,260,15,1,
,20-02-2018,2,1,205,2,2,
,21-02-2018,2,2,215,5,2,
,22-02-2018,3,1,200,10,3,
,23-02-2018,3,2,180,15,3,
,24-02-2018,4,1,60,2,4,
,25-02-2018,4,2,63,1,4,
,26-02-2018,5,1,15,1,5,
,27-02-2018,5,2,10,2,6,

